Date	Price	Open	High	Low	Vol.	Close	Change %	
"Apr 24, 2020"	5.95	6.01	6.01	5.95	1.27M	5.960117	-0.83%	
"Apr 23, 2020"	6	6	6	6	400.00K	6	0.00%	
"Apr 22, 2020"	6	6	6	6	405.50K	6	0.00%	
"Apr 21, 2020"	6	6.08	6.08	6	3.25M	6.08	0.00%	
"Apr 20, 2020"	6	6.15	6.15	6	582.00K	5.99994	-2.44%	
"Apr 17, 2020"	6.15	6.15	6.15	6.15	1.69M	6.14016	-0.16%	
"Apr 16, 2020"	6.16	6.13	6.16	6.13	10.40K	6.293671	2.67%	
"Apr 15, 2020"	6	6.15	6.15	6	444.50K	6.00978	-2.28%	
"Apr 14, 2020"	6.14	6.15	6.15	6.14	326.20K	6.14016	-0.16%	
"Apr 09, 2020"	6.15	6.13	6.15	6.13	1.13M	6.180266	0.82%	
"Apr 08, 2020"	6.1	6.19	6.19	6.1	224.80K	6.199904	0.16%	
"Apr 07, 2020"	6.09	6.21	6.21	6.09	275.30K	6.109398	-1.62%	
"Apr 06, 2020"	6.19	6.36	6.36	6.19	191.40K	6.190188	-2.67%	
"Apr 03, 2020"	6.36	6.25	6.36	6.25	0.40K	6.36	1.76%	
"Mar 31, 2020"	6.25	6.3	6.3	6.25	266.10K	6.25023	-0.79%	
"Mar 30, 2020"	6.3	6.32	6.32	6.3	108.00K	6.270072	-0.79%	
"Mar 27, 2020"	6.35	6.44	6.44	6.35	923.30K	6.389768	-0.78%	
"Mar 26, 2020"	6.4	6.77	6.77	6.4	782.60K	6.515448	-3.76%	
"Mar 25, 2020"	6.65	7.05	7.05	6.65	938.40K	6.6975	-5.00%	
"Mar 24, 2020"	7	7.05	7.05	7	83.50K	7.05	0.00%	
"Mar 23, 2020"	7	6.66	7	6.66	364.50K	7.010316	5.26%	
"Mar 20, 2020"	6.65	6.29	6.65	6.29	331.50K	5.577343	-11.33%	
"Mar 19, 2020"	7.5	6.31	7.5	6.31	725.40K	7.572	20.00%	
"Mar 18, 2020"	6.25	6.48	6.25	6.25	734.40K	6.328368	-2.34%	
"Mar 17, 2020"	6.4	6.88	6.4	6.4	637.80K	6.475456	-5.88%	
"Mar 16, 2020"	6.8	7.47	6.8	6.8	423.40K	6.640083	-11.11%	
"Mar 13, 2020"	7.65	7.39	7.65	7.65	188.80K	7.497894	1.46%	
"Mar 12, 2020"	7.54	7.08	7.54	7.54	469.40K	7.50834	6.05%	
"Mar 11, 2020"	7.11	6.52	7.11	7.11	564.90K	6.622364	1.57%	
"Mar 10, 2020"	7	6.28	7	7	697.40K	6.762932	7.69%	
"Mar 09, 2020"	6.5	5.95	6.5	6.5	798.70K	6.413505	7.79%	
"Mar 06, 2020"	6.03	5.82	6.03	6.03	1.11M	5.94804	2.20%	
"Mar 05, 2020"	5.9	6	5.9	5.9	770.40K	5.91	-1.50%	
"Mar 04, 2020"	5.99	6.2	5.99	5.99	790.30K	5.89496	-4.92%	
"Mar 03, 2020"	6.3	6.5	6.3	6.3	62.40K	6.2998	-3.08%	
"Mar 02, 2020"	6.5	6.57	6.5	6.5	1.70K	6.621246	0.78%	
"Feb 28, 2020"	6.45	6.85	6.45	6.45	1.33M	6.44996	-5.84%	
"Feb 27, 2020"	6.85	7.13	6.85	6.85	361.40K	6.977418	-2.14%	
"Feb 26, 2020"	7	7.4	7	7	451.40K	6.99966	-5.41%	
"Feb 25, 2020"	7.4	7.51	7.4	7.4	17.10K	7.429643	-1.07%	
"Feb 24, 2020"	7.48	7.53	7.48	7.48	204.60K	7.490091	-0.53%	
"Feb 20, 2020"	7.52	8.05	7.52	7.52	198.80K	7.567	-6.00%	
"Feb 19, 2020"	8	8.5	8	8	390.00K	8.2025	-3.50%	
"Feb 18, 2020"	8.29	8.66	8.29	8.29	481.50K	8.290218	-4.27%	
"Feb 17, 2020"	8.66	8.66	8.66	8.66	364.50K	8.66	0.00%	
